DescriptionLabelTextbox,DescriptionTextbox,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,This reports provides an asset manager summary view of a collection of computers.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header_Table0_ComputerName,Header_Table0_DomainWorkgroup,Header_Table0_SMSSiteName,Header_Table0_TopConsoleUser,Header_Table0_OperatingSystem,Header_Table0_ServicePackLevel,Header_Table0_SerialNumber,Header_Table0_AssetTag,Header_Table0_Manufacturer,Header_Table0_Model,Header_Table0_MemoryKBytes,Header_Table0_ProcessorGHz,Header_Table0_DiskSpaceMB,Header_Table0_FreeDiskSpaceMB,Details_Table0_ComputerName,Details_Table0_DomainWorkgroup,Details_Table0_SMSSiteName,Details_Table0_TopConsoleUser,Details_Table0_OperatingSystem,Details_Table0_ServicePackLevel,Details_Table0_SerialNumber,Details_Table0_AssetTag,Details_Table0_Manufacturer,Details_Table0_Model,Details_Table0_MemoryKBytes,Details_Table0_ProcessorGHz,Details_Table0_DiskSpaceMB,Details_Table0_FreeDiskSpaceMB
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B08773-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG8164HWD,5CG8164HWD,HP,HP EliteBook 850 G5,7740628,1700,243256,122242
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B09423-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG94329B9,5CG94329B9,HP,HP EliteBook 830 G6,7698728,1600,243256,122695
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B09953-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG8172KBS,5CG8172KBS,HP,HP EliteBook 840 G5,7740632,1700,243256,138574
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B10274-W102,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG0136VFK,5CG0136VFK,HP,HP EliteBook 850 G6,32860456,1600,243256,118727
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B10757-W101,NPI,Neenah Paper Inc. - SI Datacenter,npi\b10757,Microsoft Windows 10 Enterprise,,CND9434QLP,,HP,HP Elite x2 G4,8190112,1600,243256,43571
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B14334-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG9033X9F,5CG9033X9F,HP,HP EliteBook 840 G5,32898248,1700,487444,213042
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B14334-W102,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,CQZGT93,,Dell Inc.,Latitude 3420,8121120,2800,243256,91070
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B14334-W103,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,8T55ZD3,,Dell Inc.,XPS 13 9310,33258280,3000,975820,922677
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B16590-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG81443CM,5CG81443CM,HP,HP EliteBook 850 G5,7740616,1700,1197091,993931
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B17244-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG942815L,5CG942815L,HP,HP EliteBook 840 G6,8199096,1600,243256,147161
